membros,x_latente,y_integracao_kf,semantico,na_faixa,quadrante
W2037354927|W2048086870|W4285719527,0.0552,0.6621,0.236,1,costura_ouro
W1524264467|W1601629960|W4285719527,0.0678,0.6524,0.116,0,ruido_quimera
W1524264467|W1566478880|W4285719527,0.0782,0.636,0.4503,0,ruido_quimera
W1524264467|W2111030512|W4285719527,0.0586,0.6357,0.2293,1,costura_ouro
W1524264467|W2048086870|W4285719527,0.0552,0.6345,0.3523,0,ruido_quimera
W1585485765|W4206762723|W4285719527,0.0483,0.5992,0.0,0,ruido_quimera
W1585485765|W2126563689|W4285719527,0.0506,0.5969,0.1302,0,ruido_quimera
W1585485765|W1601629960|W4285719527,0.0678,0.5952,0.2254,1,costura_ouro
W1492856410|W1585485765|W4285719527,0.0517,0.5917,0.1322,0,ruido_quimera
W1585485765|W2154683088|W4285719527,0.054,0.5914,0.1465,0,ruido_quimera
W1585485765|W2123755784|W4285719527,0.0575,0.5913,0.0305,0,ruido_quimera
W1566478880|W1585485765|W4285719527,0.077,0.591,0.1875,0,ruido_quimera
W1585485765|W2111030512|W4285719527,0.0575,0.5909,-0.0278,0,ruido_quimera
W1585485765|W2048086870|W4285719527,0.054,0.5905,0.1055,0,ruido_quimera
W1492856410|W2046284555|W4285719527,0.0517,0.5784,0.1059,0,ruido_quimera
W2046284555|W2154683088|W4285719527,0.054,0.5783,0.2863,1,costura_ouro
W2046284555|W2123755784|W4285719527,0.0575,0.5781,0.1169,0,ruido_quimera
W2046284555|W2048086870|W4285719527,0.054,0.5778,0.2281,1,costura_ouro
W1566478880|W2046284555|W4285719527,0.077,0.5777,0.2627,1,costura_ouro
W2046284555|W2111030512|W4285719527,0.0575,0.5777,0.1193,0,ruido_quimera
W2046284555|W3124879925|W4285719527,0.054,0.5766,0.2507,1,costura_ouro
W2046284555|W4206762723|W4285719527,0.0483,0.5635,0.0,0,ruido_quimera
W2046284555|W2126563689|W4285719527,0.0102,0.56,0.1558,0,ruido_quimera
W1999130476|W4206762723|W4285719527,0.0483,0.559,0.0,0,ruido_quimera
W1999130476|W2126563689|W4285719527,0.0506,0.5568,0.1358,0,ruido_quimera
W1601629960|W1999130476|W4285719527,0.0678,0.5549,0.1839,0,ruido_quimera
W1520641906|W1601629960|W2097592255,0.0736,0.551,0.3125,1,costura_ouro
W1601629960|W2097592255|W4206762723,0.0678,0.5496,0.2621,1,costura_ouro
W1601629960|W2097592255|W2126563689,0.0782,0.5485,0.372,0,ruido_quimera
W1492856410|W1999130476|W4285719527,0.0517,0.5457,0.1433,0,ruido_quimera
W1999130476|W2123755784|W4285719527,0.0575,0.5452,0.2745,1,costura_ouro
W1566478880|W1999130476|W4285719527,0.077,0.545,0.2803,1,costura_ouro
W1999130476|W2111030512|W4285719527,0.0575,0.545,0.2869,1,costura_ouro
W1999130476|W2048086870|W4285719527,0.054,0.5447,0.2851,1,costura_ouro
W1999130476|W2154683088|W4285719527,0.0102,0.544,0.2705,1,costura_ouro
W2109469951|W2111030512|W2325487953,0.0102,0.5411,0.3898,0,ruido_quimera
W2046284555|W2126563689|W4206762723,0.1678,0.5404,0.1558,0,ruido_quimera
W2025177555|W2109469951|W2111030512,0.0483,0.5399,0.2419,1,costura_ouro
W2109469951|W4244612406|W52678905,0.0782,0.5399,0.3895,0,ruido_quimera
W2109469951|W2111030512|W52678905,0.069,0.5396,0.229,1,costura_ouro
W1566478880|W2109469951|W4244612406,0.0517,0.5396,0.2755,1,costura_ouro
W1492856410|W2109469951|W2111030512,0.0506,0.5396,0.2374,1,costura_ouro
W2109469951|W2111030512|W2154683088,0.0494,0.5395,0.2162,1,costura_ouro
W2109469951|W2111030512|W2123755784,0.0747,0.5394,0.1386,0,ruido_quimera
W1566478880|W2109469951|W2111030512,0.1046,0.5393,0.1938,0,ruido_quimera
W2048086870|W2109469951|W2111030512,0.0563,0.5393,0.2082,0,ruido_quimera
W1601629960|W2046284555|W4206762723,0.0724,0.5356,0.2056,0,ruido_quimera
W1492856410|W1993233559|W4285719527,0.054,0.5346,0.2556,1,costura_ouro
W1993233559|W2154683088|W4285719527,0.0563,0.5345,0.308,1,costura_ouro
W1993233559|W2123755784|W4285719527,0.0598,0.5343,0.0599,0,ruido_quimera
W1993233559|W2048086870|W4285719527,0.0563,0.5341,0.2195,1,costura_ouro
W1566478880|W1993233559|W4285719527,0.0793,0.5339,0.2709,1,costura_ouro
W1993233559|W2111030512|W4285719527,0.0598,0.5339,0.1941,0,ruido_quimera
W1993233559|W3124879925|W4285719527,0.0563,0.533,0.2874,1,costura_ouro
W1520641906|W1601629960|W2109469951,0.0759,0.5236,0.2376,1,costura_ouro
W1520641906|W2109469951|W2126563689,0.0506,0.5175,0.2357,1,costura_ouro
W1601629960|W1993233559|W4285719527,0.0303,0.5172,0.292,1,costura_ouro
W1492856410|W4285719527|W760270995,0.0517,0.5086,0.1385,0,ruido_quimera
W2154683088|W4285719527|W760270995,0.054,0.5085,0.2849,1,costura_ouro
W2123755784|W4285719527|W760270995,0.0575,0.5083,0.1418,0,ruido_quimera
W2048086870|W4285719527|W760270995,0.054,0.508,0.2152,0,ruido_quimera
W1566478880|W4285719527|W760270995,0.077,0.5079,0.2429,1,costura_ouro
W2111030512|W4285719527|W760270995,0.0575,0.5079,0.0827,0,ruido_quimera
W1498201492|W4206762723|W4285719527,0.0483,0.5079,0.0,0,ruido_quimera
W3124879925|W4285719527|W760270995,0.054,0.5063,0.3674,0,ruido_quimera
W1498201492|W2126563689|W4285719527,0.0506,0.5058,0.0416,0,ruido_quimera
W1498201492|W1601629960|W4285719527,0.0678,0.5037,0.2386,1,costura_ouro
W2483843983|W4206762723|W4285719527,0.0494,0.5017,0.0,0,ruido_quimera
W2126563689|W2483843983|W4285719527,0.0517,0.4996,0.2387,1,costura_ouro
W1601629960|W2483843983|W4285719527,0.069,0.4974,0.2647,1,costura_ouro
W1520641906|W1993233559|W2126563689,0.0162,0.4967,0.4278,0,ruido_quimera
W1492856410|W1498201492|W4285719527,0.0517,0.4963,0.1334,0,ruido_quimera
W1498201492|W2154683088|W4285719527,0.054,0.496,0.2111,0,ruido_quimera
W1498201492|W2123755784|W4285719527,0.0575,0.4958,0.1521,0,ruido_quimera
W1498201492|W1566478880|W4285719527,0.077,0.4955,0.2649,1,costura_ouro
W1498201492|W2111030512|W4285719527,0.0575,0.4954,0.2873,1,costura_ouro
W1498201492|W2048086870|W4285719527,0.054,0.4951,0.3063,1,costura_ouro
W4206762723|W4285719527|W760270995,0.0136,0.4903,0.0,0,ruido_quimera
W1492856410|W2483843983|W4285719527,0.0529,0.4895,0.1684,0,ruido_quimera
W2154683088|W2483843983|W4285719527,0.0552,0.4893,0.1742,0,ruido_quimera
W2123755784|W2483843983|W4285719527,0.0586,0.4891,0.1055,0,ruido_quimera
W1566478880|W2483843983|W4285719527,0.0782,0.4888,0.2159,1,costura_ouro
W2111030512|W2483843983|W4285719527,0.0586,0.4887,0.0718,0,ruido_quimera
W2048086870|W2483843983|W4285719527,0.0552,0.4884,0.1746,0,ruido_quimera
W2126563689|W4285719527|W760270995,0.0162,0.4863,0.2569,1,costura_ouro
W1581687645|W4244612406|W52678905,0.0782,0.4849,0.4183,0,ruido_quimera
W1566478880|W1581687645|W4244612406,0.0517,0.4847,0.3691,0,ruido_quimera
W1581687645|W2111030512|W4244612406,0.0598,0.4846,0.2513,1,costura_ouro
W1492856410|W1581687645|W4285719527,0.0517,0.484,0.2806,1,costura_ouro
W1581687645|W2154683088|W4285719527,0.054,0.4838,0.3933,0,ruido_quimera
W1581687645|W2123755784|W4285719527,0.0575,0.4836,0.2349,1,costura_ouro
W1581687645|W2048086870|W4285719527,0.054,0.4835,0.2988,1,costura_ouro
W1566478880|W1581687645|W4285719527,0.077,0.4832,0.3477,0,ruido_quimera
W1581687645|W2111030512|W4285719527,0.0575,0.4831,0.1372,0,ruido_quimera
W1581687645|W3124879925|W4285719527,0.054,0.4831,0.4854,0,ruido_quimera
W1581687645|W4206762723|W4285719527,0.0136,0.4685,0.0,0,ruido_quimera
W1581687645|W1601629960|W4285719527,0.0163,0.4654,0.3345,0,ruido_quimera
W2165429918|W4206762723|W4285719527,0.0494,0.4343,0.0,0,ruido_quimera
W2126563689|W2165429918|W4285719527,0.0517,0.4322,0.0917,0,ruido_quimera
W1601629960|W2165429918|W4285719527,0.069,0.4302,0.08,0,ruido_quimera
W2120106358|W2155153551|W3124879925,0.0529,0.4276,0.3245,0,ruido_quimera
W1492856410|W2165429918|W4285719527,0.0529,0.4217,0.012,0,ruido_quimera
